,Dependents,Education,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
469,0,0,4333,2451.0,110.0,360.0,1.0,2,0
470,1,0,3450,2079.0,162.0,360.0,1.0,1,1
471,1,1,2653,1500.0,113.0,180.0,0.0,0,0
472,3,0,4691,0.0,100.0,360.0,1.0,1,1
473,0,0,2500,0.0,93.0,360.0,1.0,2,1
474,2,0,5532,4648.0,162.0,360.0,1.0,0,1
475,2,0,16525,1014.0,150.0,360.0,1.0,0,1
476,2,0,6700,1750.0,230.0,300.0,1.0,1,1
477,2,0,2873,1872.0,132.0,360.0,0.0,1,0
478,1,0,16667,2250.0,86.0,360.0,1.0,1,1
479,2,0,2947,1603.0,128.0,360.0,1.0,2,0
480,0,1,4350,0.0,154.0,360.0,1.0,0,1
481,3,1,3095,0.0,113.0,360.0,1.0,0,1
482,0,0,2083,3150.0,128.0,360.0,1.0,1,1
483,0,0,10833,0.0,234.0,360.0,1.0,1,1
484,2,0,8333,0.0,246.0,360.0,1.0,1,1
485,1,1,1958,2436.0,131.0,360.0,1.0,0,1
486,2,0,3547,0.0,80.0,360.0,0.0,0,0
487,1,0,18333,0.0,500.0,360.0,1.0,2,0
488,2,0,4583,2083.0,160.0,360.0,1.0,1,1
489,0,0,2435,0.0,75.0,360.0,1.0,2,0
490,0,1,2699,2785.0,96.0,360.0,1.0,1,1
491,1,1,5333,1131.0,186.0,360.0,1.0,2,1
492,0,1,3691,0.0,110.0,360.0,1.0,0,1
493,0,1,17263,0.0,225.0,360.0,1.0,1,1
494,0,0,3597,2157.0,119.0,360.0,0.0,0,0
495,1,0,3326,913.0,105.0,84.0,1.0,1,1
496,0,1,2600,1700.0,107.0,360.0,1.0,0,1
497,0,0,4625,2857.0,111.0,12.0,1.0,2,1
498,1,0,2895,0.0,95.0,360.0,1.0,1,1
499,0,0,6283,4416.0,209.0,360.0,0.0,0,0
500,0,0,645,3683.0,113.0,480.0,1.0,0,1
501,0,0,3159,0.0,100.0,360.0,1.0,1,1
502,2,0,4865,5624.0,208.0,360.0,1.0,1,1
503,1,1,4050,5302.0,138.0,360.0,1.0,0,0
504,0,1,3814,1483.0,124.0,300.0,1.0,1,1
505,2,0,3510,4416.0,243.0,360.0,1.0,0,1
506,0,0,20833,6667.0,480.0,360.0,1.0,2,1
507,0,0,3583,0.0,96.0,360.0,1.0,2,0
508,0,0,2479,3013.0,188.0,360.0,1.0,2,1
509,1,0,13262,0.0,40.0,360.0,1.0,2,1
510,0,1,3598,1287.0,100.0,360.0,1.0,0,0
511,1,0,6065,2004.0,250.0,360.0,1.0,1,1
512,2,0,3283,2035.0,148.0,360.0,1.0,2,1
513,0,0,2130,6666.0,70.0,180.0,1.0,1,0
514,0,0,5815,3666.0,311.0,360.0,1.0,0,0
515,3,0,3466,3428.0,150.0,360.0,1.0,0,1
516,2,0,2031,1632.0,113.0,480.0,1.0,1,1
517,0,1,3074,1800.0,123.0,360.0,0.0,1,0
518,0,0,4683,1915.0,185.0,360.0,1.0,1,0
519,0,1,3400,0.0,95.0,360.0,1.0,0,0
520,2,1,2192,1742.0,45.0,360.0,1.0,1,1
521,0,0,2500,0.0,55.0,360.0,1.0,1,1
522,3,0,5677,1424.0,100.0,360.0,1.0,0,1
523,2,0,7948,7166.0,480.0,360.0,1.0,0,1
524,0,0,4680,2087.0,128.0,360.0,1.0,1,0
525,2,0,17500,0.0,400.0,360.0,1.0,0,1
526,0,0,3775,0.0,110.0,360.0,1.0,1,1
527,1,1,5285,1430.0,161.0,360.0,0.0,1,1
528,1,1,2679,1302.0,94.0,360.0,1.0,1,1
529,0,1,6783,0.0,130.0,360.0,1.0,1,1
530,0,0,1025,5500.0,216.0,360.0,1.0,0,1
531,3,0,4281,0.0,100.0,360.0,1.0,2,1
532,2,0,3588,0.0,110.0,360.0,0.0,0,0
533,1,0,11250,0.0,196.0,360.0,1.0,1,0
534,0,1,18165,0.0,125.0,360.0,1.0,2,1
535,0,1,2550,2042.0,126.0,360.0,1.0,0,1
536,0,0,6133,3906.0,324.0,360.0,1.0,2,1
537,2,0,3617,0.0,107.0,360.0,1.0,1,1
538,0,1,2917,536.0,66.0,360.0,1.0,0,0
539,3,0,6417,0.0,157.0,180.0,1.0,0,1
540,1,0,4608,2845.0,140.0,180.0,1.0,1,1
541,0,0,2138,0.0,99.0,360.0,0.0,1,0
542,1,0,3652,0.0,95.0,360.0,1.0,1,1
543,1,1,2239,2524.0,128.0,360.0,1.0,2,1
544,0,1,3017,663.0,102.0,360.0,1.0,1,1
545,0,0,2768,1950.0,155.0,360.0,1.0,0,1
546,0,1,3358,0.0,80.0,36.0,1.0,1,0
547,0,0,2526,1783.0,145.0,360.0,1.0,0,1
548,0,0,5000,0.0,103.0,360.0,0.0,1,0
549,0,0,2785,2016.0,110.0,360.0,1.0,0,1
550,2,0,6633,0.0,128.0,360.0,0.0,0,0
551,1,1,2492,2375.0,128.0,360.0,1.0,0,1
552,1,0,3333,3250.0,158.0,360.0,1.0,2,1
553,0,1,2454,2333.0,181.0,360.0,0.0,2,0
554,0,0,3593,4266.0,132.0,180.0,0.0,0,0
555,1,0,5468,1032.0,26.0,360.0,1.0,1,1
556,0,0,2667,1625.0,84.0,360.0,1.0,2,1
557,3,0,10139,0.0,260.0,360.0,1.0,1,1
558,0,0,3887,2669.0,162.0,360.0,1.0,1,1
559,0,0,4180,2306.0,182.0,360.0,1.0,1,1
560,2,1,3675,242.0,108.0,360.0,1.0,1,1
561,1,0,19484,0.0,600.0,360.0,1.0,1,1
562,0,0,5923,2054.0,211.0,360.0,1.0,0,1
563,0,1,5800,0.0,132.0,360.0,1.0,1,1
564,2,0,8799,0.0,258.0,360.0,0.0,2,0
565,0,1,4467,0.0,120.0,360.0,1.0,0,1
566,0,0,3333,0.0,70.0,360.0,1.0,2,1
567,3,0,3400,2500.0,123.0,360.0,0.0,0,0
568,0,0,2378,0.0,9.0,360.0,1.0,2,0
569,0,0,3166,2064.0,104.0,360.0,0.0,2,0
570,1,0,3417,1750.0,186.0,360.0,1.0,2,1
571,0,0,5116,1451.0,165.0,360.0,0.0,2,0
572,2,0,16666,0.0,275.0,360.0,1.0,2,1
573,2,1,6125,1625.0,187.0,480.0,1.0,1,0
574,3,0,6406,0.0,150.0,360.0,1.0,1,0
575,2,0,3159,461.0,108.0,84.0,1.0,2,1
576,0,0,3087,2210.0,136.0,360.0,0.0,1,0
577,0,0,3229,2739.0,110.0,360.0,1.0,2,1
578,1,0,1782,2232.0,107.0,360.0,1.0,0,1
579,0,0,3182,2917.0,161.0,360.0,1.0,2,1
580,2,0,6540,0.0,205.0,360.0,1.0,1,1
581,0,0,1836,33837.0,90.0,360.0,1.0,2,0
582,0,0,3166,0.0,36.0,360.0,1.0,1,1
583,1,0,1880,0.0,61.0,360.0,1.0,0,0
584,1,0,2787,1917.0,146.0,360.0,0.0,0,0
585,1,0,4283,3000.0,172.0,84.0,1.0,0,0
586,0,0,2297,1522.0,104.0,360.0,1.0,2,1
587,0,1,2165,0.0,70.0,360.0,1.0,1,1
588,0,0,4750,0.0,94.0,360.0,1.0,1,1
589,2,0,2726,0.0,106.0,360.0,0.0,1,0
590,0,0,3000,3416.0,56.0,180.0,1.0,1,1
591,2,0,6000,0.0,205.0,240.0,1.0,1,0
592,3,0,9357,0.0,292.0,360.0,1.0,1,1
593,0,0,3859,3300.0,142.0,180.0,1.0,0,1
594,0,0,16120,0.0,260.0,360.0,1.0,2,1
595,0,1,3833,0.0,110.0,360.0,1.0,0,1
596,2,1,6383,1000.0,187.0,360.0,1.0,0,0
597,0,0,2987,0.0,88.0,360.0,0.0,1,0
598,0,0,9963,0.0,180.0,360.0,1.0,0,1
599,2,0,5780,0.0,192.0,360.0,1.0,2,1
600,3,0,416,41667.0,350.0,180.0,1.0,2,0
601,0,1,2894,2792.0,155.0,360.0,1.0,0,1
602,3,0,5703,0.0,128.0,360.0,1.0,2,1
603,0,0,3676,4301.0,172.0,360.0,1.0,0,1
604,1,0,12000,0.0,496.0,360.0,1.0,1,1
605,0,1,2400,3800.0,128.0,180.0,1.0,2,0
606,1,0,3400,2500.0,173.0,360.0,1.0,1,1
607,2,1,3987,1411.0,157.0,360.0,1.0,0,1
608,0,0,3232,1950.0,108.0,360.0,1.0,0,1
609,0,0,2900,0.0,71.0,360.0,1.0,0,1
610,3,0,4106,0.0,40.0,180.0,1.0,0,1
611,1,0,8072,240.0,253.0,360.0,1.0,2,1
612,2,0,7583,0.0,187.0,360.0,1.0,2,1
613,0,0,4583,0.0,133.0,360.0,0.0,1,0
